ranking,nombre,puntuacion,votos,tipo,episodios,duracion,demografia,source,rating_edad,miembros,favoritos
136,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,,ONA,14,24 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"257,868","3,277"
137,Mushishi: Hihamukage,8.52,,TV Special,1,44 min.,Seinen,Manga,PG-13 - Teens 13 or older,"148,741",205
138,Bakuman. 3rd Season,8.52,,TV,25,24 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"342,226","2,957"
139,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,,Movie,1,1 hr. 35 min.,Shounen,Manga,R - 17+ (violence & profanity),"172,795",623
140,Gintama. Porori-hen,8.52,,TV,13,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"214,963",939
141,Kara no Kyoukai Movie 5: Mujun Rasen,8.51,,Movie,1,1 hr. 54 min.,,Light novel,R - 17+ (violence & profanity),"248,358","4,667"
142,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,,TV,26,25 min. per ep.,Seinen,Manga,R - 17+ (violence & profanity),"236,658","3,229"
143,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,,TV,39,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"1,206,046","41,777"
144,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,8.50,,TV,13,24 min. per ep.,,Light novel,PG-13 - Teens 13 or older,"113,965",545
145,Shoujo☆Kageki Revue Starlight Movie,8.50,,Movie,1,2 hr.,,Drama,PG-13 - Teens 13 or older,"24,179",981
146,Sono Bisque Doll wa Koi wo Suru Season 2,8.50,,TV,12,23 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"257,871","2,232"
147,Sora yori mo Tooi Basho,8.50,,TV,13,23 min. per ep.,,Adventure,PG-13 - Teens 13 or older,"536,970","14,580"
148,Yuru Camp△ Season 2,8.50,,TV,13,23 min. per ep.,,Manga,PG-13 - Teens 13 or older,"244,643","3,139"
149,Tian Guan Cifu Special,8.49,,ONA,1,21 min.,,Action,PG-13 - Teens 13 or older,"57,246",522
150,Tu Bian Yingxiong X,8.49,,ONA,24,24 min. per ep.,,Action,PG-13 - Teens 13 or older,"137,050","1,430"
151,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.49,,Movie,1,1 hr. 56 min.,,Award Winning,PG-13 - Teens 13 or older,"404,599","9,382"
152,Mob Psycho 100,8.49,,TV,12,24 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"2,223,938","51,919"
153,Ousama Ranking,8.49,,TV,23,22 min. per ep.,,Web manga,PG-13 - Teens 13 or older,"716,372","13,415"
154,Dandadan,8.49,,TV,12,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"767,896","12,088"
155,Uchuu Kyoudai,8.48,,TV,99,24 min. per ep.,Seinen,Manga,PG-13 - Teens 13 or older,"205,490","3,906"
156,Yakusoku no Neverland,8.48,,TV,12,22 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"2,082,181","32,742"
157,One Punch Man,8.48,,TV,12,24 min. per ep.,Seinen,Web manga,R - 17+ (violence & profanity),"3,401,473","65,874"
158,Kimi ni Todoke 3rd Season,8.47,,ONA,5,1 hr. 6 min. per ep.,Shoujo,Manga,PG-13 - Teens 13 or older,"94,944",722
159,Nichijou,8.47,,TV,26,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"951,041","24,963"
160,Ansatsu Kyoushitsu 2nd Season,8.47,,TV,25,23 min. per ep.,Shounen,Manga,PG-13 - Teens 13 or older,"1,517,132","17,782"
161,Aria the Origination,8.47,,TV,13,24 min. per ep.,Shounen,Manga,G - All Ages,"137,527","4,236"
162,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,,Movie,1,1 hr. 57 min.,,Action,R - 17+ (violence & profanity),"418,355","3,546"
163,Summertime Render,8.47,,TV,25,23 min. per ep.,Shounen,Manga,R - 17+ (violence & profanity),"627,773","10,656"
